Volatility 3 Framework 2.0.0

Offset	Name	Size
0x71c1cf0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TFTP-Client-Package~31bf3856ad364e35~amd64~en-US~6.1.7600.16385.cat	216
0x71c26b0	\Windows\System32\wbem\wbemprox.dll	216
0x71c29e0	\Windows\System32\upnphost.dll	216
0x71c2f20	\Windows\System32\npmproxy.dll	216
0x71c3070	\Windows\System32\wbemcomn.dll	216
0x71c3650	\Windows\System32\wbem\fastprox.dll	216
0x71c3be0	\Windows\System32\wbem\wbemsvc.dll	216
0x71c4070	\Windows\System32\ntdsapi.dll	216
0x71c4490	\Windows\System32\credssp.dll	216
0x71c4830	\Endpoint	216
0x71c4d60	\Windows\System32\gpapi.dll	216
0x11a68f050	\Windows\System32\drivers\volmgr.sys	216
0x11a68f400	\Windows\System32\drivers\amdxata.sys	216
0x11a68f630	\Windows\System32\drivers\fltMgr.sys	216
0x11a68f860	\Windows\System32\drivers\ataport.sys	216
0x11a68fa90	\Windows\System32\drivers\atapi.sys	216
0x11a68fbc0	\Windows\System32\drivers\mountmgr.sys	216
0x11a68ff20	\Windows\System32\drivers\pciidex.sys	216
0x11a966a40	\Windows\System32\drivers\nsiproxy.sys	216
0x11aa30050	\Windows\System32\drivers\ntfs.sys	216
0x11aa302a0	\Windows\System32\drivers\netio.sys	216
0x11aa303d0	\Windows\System32\drivers\ksecpkg.sys	216
0x11aa30660	\Windows\System32\drivers\fs_rec.sys	216
0x11aa309c0	\Windows\System32\drivers\cng.sys	216
0x11aa30d20	\Windows\System32\drivers\ksecdd.sys	216
0x11ab3d5f0	\Windows\System32\snmptrap.exe	216
0x11ca82740	\Windows\SysWOW64\userenv.dll	216
0x11ca82a10	\Windows\SysWOW64\version.dll	216
0x11ca82d20	\Windows\SysWOW64\msctf.dll	216
0x11cb37450	\Users\Phil\Desktop\ENCRYP~1.ZIP	216
0x11cb37940	\Windows\System32\lpk.dll	216
0x11d0cdc20	\Windows\System32\dxtrans.dll	216
0x11d44e570	\$Directory	216
0x11d44e6c0	\Windows\SysWOW64\oleaut32.dll	216
0x11d50e3b0	\$Directory	216
0x11d50eaa0	\Windows\System32\RpcEpMap.dll	216
0x11d7306e0	\Windows\System32\user32.dll	216
0x11d7308f0	\Windows\SysWOW64\kernel32.dll	216
0x11d730a20	\$Directory	216
0x11d730bb0	\Windows\SysWOW64\KernelBase.dll	216
0x11dd06310	\Windows\System32\odbcad32.exe	216
0x11dd06730	\Windows\winsxs\Manifests\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af.manifest	216
0x11de06d10	\Windows\winsxs\Manifests\x86_microsoft.windows.systemcompatible_6595b64144ccf1df_6.0.7600.16385_none_49adccbde8169a03.manifest	216
0x11e000240	\ProgramData\Microsoft\Windows\Start Menu\Programs\Sidebar.lnk	216
0x11e000c20	\ProgramData\Microsoft\Windows\Start Menu\Programs\desktop.ini	216
0x11e001da0	\Windows\Resources\Themes\Aero\Shell\NormalColor\shellstyle.dll	216
0x11e0026d0	\$Directory	216
0x11e002980	\Users\Phil\AppData\Roaming\Microsoft\Windows\Cookies\index.dat	216
0x11e0034a0	\$Directory	216
0x11e003780	\Users\Phil\AppData\Local\Microsoft\Feeds\FeedsStore.feedsdb-ms	216
0x11e003f20	\Program Files (x86)\Common Files\System\en-US\wab32res.dll.mui	216
0x11e004370	\Users\Phil\AppData\Local\Microsoft\Windows Sidebar\Settings.ini	216
0x11e004830	\$Directory	216
0x11e004b60	\Program Files\Common Files\Microsoft Shared\Stationery\Memo.emf	216
0x11e004e00	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x11e005b30	\$Directory	216
0x11e005c80	\Program Files (x86)\Windows Media Player\en-US\wmplayer.exe.mui	216
0x11e0062d0	\Program Files\Common Files\Microsoft Shared\Stationery\Graph.emf	216
0x11e006cd0	\Program Files\Common Files\Microsoft Shared\Stationery\Tiki.gif	216
0x11e006f20	\Program Files\Common Files\Microsoft Shared\Stationery\Monet.jpg	216
0x11e0072e0	\Program Files\Common Files\Microsoft Shared\Stationery\Bears.jpg	216
0x11e0077f0	\Users\Phil\AppData\Local\Microsoft\Windows\Burn\Burn\desktop.ini	216
0x11e008250	\Users\Phil\AppData\Local\Microsoft\Windows\Caches\cversions.1.db	216
0x11e008c50	\Program Files\Common Files\Microsoft Shared\Stationery\Seyes.emf	216
0x11e008f20	\Windows\winsxs\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_106f9be843a9b4e3\comctl32.dll.mui	216
0x11e009070	\$Directory	216
0x11e009290	\$Directory	216
0x11e0098c0	\Windows\System32\WindowsPowerShell\v1.0\en-US\powershell.exe.mui	216
0x11e00aa40	\Program Files\Common Files\Microsoft Shared\Stationery\Stars.htm	216
0x11e00ad00	\Program Files\Common Files\Microsoft Shared\Stationery\Roses.jpg	216
0x11e00b540	\ProgramData\Microsoft\Windows\Start Menu\Programs\XPS Viewer.lnk	216
0x11e00be20	\Program Files\Common Files\Microsoft Shared\Stationery\Music.emf	216
0x11e00c070	\Program Files\Common Files\Microsoft Shared\Stationery\Bears.htm	216
0x11e00ca40	\Program Files\Common Files\Microsoft Shared\Stationery\Roses.htm	216
0x11e00cdc0	\Program Files\Common Files\Microsoft Shared\Stationery\Stars.jpg	216
0x11e00d070	\Program Files\Common Files\Microsoft Shared\ink\en-US\mip.exe.mui	216
0x11e00d3d0	\Program Files\Common Files\Microsoft Shared\Stationery\Garden.htm	216
0x11e00dcd0	\$Directory	216
0x11e00de20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Chess.lnk	216
0x11e00e510	\Program Files\Common Files\Microsoft Shared\Stationery\Stucco.gif	216
0x11e00ea90	\Program Files\Common Files\Microsoft Shared\Stationery\Genko_2.emf	216
0x11e00ef20	\Program Files\Common Files\Microsoft Shared\Stationery\Garden.jpg	216
0x11e00fc50	\$Directory	216
0x11e00fda0	\Users\Phil\AppData\Roaming\Microsoft\Windows\IETldCache\index.dat	216
0x11e010250	\$Directory	216
0x11e0105a0	\Program Files\Common Files\Microsoft Shared\Stationery\Peacock.htm	216
0x11e010910	\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb	216
0x11e011a30	\Users\Phil\AppData\Local\Google\Chrome\User Data\SafetyTips\2761\safety_tips.pb	216
0x11e012480	\$Directory	216
0x11e0125d0	\Users\Phil\AppData\Roaming\Microsoft\Windows\Libraries\desktop.ini	216
0x11e0135b0	\Program Files\Common Files\Microsoft Shared\Stationery\Genko_1.emf	216
0x11e013b40	\ProgramData\Microsoft\Windows\Start Menu\Programs\Media Center.lnk	216
0x11e013e60	\Program Files\Common Files\Microsoft Shared\ink\ShapeCollector.exe	216
0x11e014250	\Program Files\Common Files\Microsoft Shared\Stationery\Peacock.jpg	216
0x11e0148b0	\Program Files\Common Files\Microsoft Shared\Stationery\Desktop.ini	216
0x11e014eb0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Hearts.lnk	216
0x11e015280	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Mahjong.lnk	216
0x11e015870	\Users\Phil\AppData\Roaming\Microsoft\Windows\Start Menu\desktop.ini	216
0x11e015ca0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Desktop.ini	216
0x11e016200	\Program Files\Common Files\Microsoft Shared\Stationery\SoftBlue.jpg	216
0x11e016450	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Roses.htm	216
0x11e016d80	\Program Files\Common Files\Microsoft Shared\Stationery\Notebook.jpg	216
0x11e0178d0	\Program Files\Common Files\Microsoft Shared\Stationery\Shorthand.emf	216
0x11e018520	\Program Files\Common Files\Microsoft Shared\Stationery\grid_(cm).wmf	216
0x11e018e40	\$Directory	216
0x11e019070	\Users\Phil\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db	216
0x11e0195e0	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Bears.htm	216
0x11e019900	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Stars.htm	216
0x11e019f20	\$Directory	216
0x11e01a220	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\FreeCell.lnk	216
0x11e01a670	\Program Files\Common Files\Microsoft Shared\Stationery\Soft Blue.htm	216
0x11e01aaa0	\Users\Phil\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db	216
0x11e01b7e0	\Program Files\Common Files\Microsoft Shared\Stationery\Tanspecks.jpg	216
0x11e01ba30	\Program Files\Common Files\Microsoft Shared\Stationery\To_Do_List.emf	216
0x11e01c4b0	\Program Files\Common Files\Microsoft Shared\Stationery\Small_News.jpg	216
0x11e01c850	\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini	216
0x11e01ce50	\Users\Phil\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db	216
0x11e01d3d0	\Program Files\Common Files\Microsoft Shared\Stationery\HandPrints.jpg	216
0x11e01dc90	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Garden.htm	216
0x11e0204f0	\$Recycle.Bin\S-1-5-21-1975548677-1442969259-1590308460-1001\desktop.ini	216
0x11e020c70	\Program Files\Common Files\Microsoft Shared\Stationery\Pine_Lumber.jpg	216
0x11e0221f0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Paint.lnk	216
0x11e0229f0	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Peacock.htm	216
0x11e022c40	\Program Files\Common Files\Microsoft Shared\Stationery\Connectivity.gif	216
0x11e024710	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Minesweeper.lnk	216
0x11e024960	\Program Files\Common Files\Microsoft Shared\Stationery\grid_(inch).wmf	216
0x11e0265e0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows DVD Maker.lnk	216
0x11e026e20	\Program Files\Common Files\Microsoft Shared\Stationery\Dotted_Lines.emf	216
0x11e027630	\Users\Phil\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db	216
0x11e028270	\Users\Phil\AppData\Local\Microsoft\Windows\History\History.IE5\index.dat	216
0x11e028d00	\Users\Phil\AppData\Roaming\Microsoft\Windows\Libraries\Music.library-ms	216
0x11e029810	\Users\Phil\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms	216
0x11e02a2f0	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Soft Blue.htm	216
0x11e02c300	\Windows\System32\jscript.dll	216
0x11e02c8a0	\Program Files\Common Files\Microsoft Shared\Stationery\Green Bubbles.htm	216
0x11e02caf0	\Program Files\Common Files\Microsoft Shared\Stationery\OrangeCircles.jpg	216
0x11e02cf20	\Program Files\Common Files\Microsoft Shared\Stationery\ShadesOfBlue.jpg	216
0x11e02dcd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-Publishing-WMIProvider-Package~31bf3856ad364e35~amd64~en-US~6.1.7601.17514.cat	216
0x11e02df20	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Media-Format-Package~31bf3856ad364e35~amd64~~6.1.7600.16385.cat	216
0x11e02e0e0	\Program Files\Common Files\Microsoft Shared\Stationery\Cave_Drawings.gif	216
0x11e02e7d0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Purble Place.lnk	216
0x11e02ea20	\Program Files\Common Files\Microsoft Shared\Stationery\Blue_Gradient.jpg	216
0x11e02ef20	\Program Files\Common Files\Microsoft Shared\Stationery\GreenBubbles.jpg	216
0x11e02f590	\Users\Phil\AppData\Local\Google\Chrome\User Data\Default\Visited Links	216
0x11e02fda0	\Windows\System32\RacEngn.dll	216
0x11e0301b0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Desktop.ini	216
0x11e0311f0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Spider Solitaire.lnk	216
0x11e031570	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Calculator.lnk	216
0x11e031820	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Internet Spades.lnk	216
0x11e031c10	\Users\Phil\AppData\Roaming\Microsoft\Windows\Libraries\Documents.library-ms	216
0x11e032070	\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini	216
0x11e0322e0	\Program Files\Common Files\Microsoft Shared\Stationery\Pretty_Peacock.jpg	216
0x11e0328a0	\$Directory	216
0x11e032bb0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\GameExplorer.lnk	216
0x11e032e60	\Program Files\Common Files\Microsoft Shared\Stationery\Orange Circles.htm	216
0x11e033690	\Windows\System32\sspicli.dll	216
0x11e033ad0	\Windows\System32\slc.dll	216
0x11e033f20	\Windows\System32\provsvc.dll	216
0x11e0346e0	\Program Files\Common Files\Microsoft Shared\Stationery\Shades of Blue.htm	216
0x11e034c40	\Program Files\Common Files\Microsoft Shared\Stationery\Wrinkled_Paper.gif	216
0x11e036f20	\Program Files\Common Files\Microsoft Shared\Stationery\Month_Calendar.emf	216
0x11e037660	\$Directory	216
0x11e037b10	\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat	216
0x11e038370	\Users\Phil\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\desktop.ini	216
0x11e0385c0	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Orange Circles.htm	216
0x11e03a8e0	\Users\Phil\AppData\Roaming\Microsoft\Windows\Themes\TranscodedWallpaper.jpg	216
0x11e03aaf0	\Windows\System32\winevt\Logs\Microsoft-Windows-Winlogon%4Operational.evtx	216
0x11e03af20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Wordpad.lnk	216
0x11e03c070	\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Fax and Scan.lnk	216
0x11e03c1c0	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Hand Prints.htm	216
0x11e03c610	\Users\Phil\AppData\Roaming\Microsoft\Windows\Libraries\Pictures.library-ms	216
0x11e03c980	\Program Files\Common Files\Microsoft Shared\Stationery\White_Chocolate.jpg	216
0x11e03cd90	\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Media Player.lnk	216
0x11e040350	\Windows\System32\7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0	216
0x11e0416b0	\Device\HarddiskVolume2\Users\Phil\AppData\Local\Microsoft\Windows\UsrClass.dat{ff862e01-6e52-11ec-ad90-080027405611}.TM	216
0x11e042070	\Users\Phil\AppData\Local\Microsoft\Media Player\CurrentDatabase_372.wmdb	216
0x11e042dc0	\Endpoint	216
0x11e044440	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Sync Center.lnk	216
0x11e045070	\Windows\System32\wmp.dll	216
0x11e045330	\Windows\System32\wmploc.DLL	216
0x11e0457e0	\Windows\System32\dwmapi.dll	216
0x11e045c90	\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a\GdiPlus.dll	216
0x11e0463c0	\Windows\System32\winevt\Logs\Microsoft-Windows-Known Folders API Service.evtx	216
0x11e046a80	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Green Bubbles.htm	216
0x11e0485c0	\Windows\System32\crypt32.dll	216
0x11e048710	\Program Files\Windows Defender\MpSvc.dll	216
0x11e049270	\$Directory	216
0x11e049520	\ProgramData\Microsoft\Windows\DRM\v3ks.bla	216
0x11e049770	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-WinOcr-Package~31bf3856ad364e35~amd64~~6.1.7601.17514.cat	216
0x11e049cd0	\Windows\System32\blackbox.dll	216
0x11e049f20	\ProgramData\Microsoft\Windows\DRM\drmstore.hds	216
0x11e04a540	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk	216
0x11e04ab80	\Users\Phil\AppData\Local\Microsoft\Windows Mail\Stationery\Shades of Blue.htm	216
0x11e04c380	\Users\Phil\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\desktop.ini	216
0x11e04c940	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Internet Backgammon.lnk	216
0x11e04cdd0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Internet Checkers.lnk	216
0x11e04cf20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Sticky Notes.lnk	216
0x11e04d360	\Windows\System32\wmpps.dll	216
0x11e04da70	\Windows\System32\wkscli.dll	216
0x11e04df20	\Windows\System32\srvcli.dll	216
0x11e04e690	\Users\Phil\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat	216
0x11e050230	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Mobility Center.lnk	216
0x11e050f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\displayswitch.lnk	216
0x11e0526f0	\$Directory	216
0x11e052840	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Tablet PC\Desktop.ini	216
0x11e052c10	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Welcome Center.lnk	216
0x11e052e60	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Sound Recorder.lnk	216
0x11e054370	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\dfrgui.lnk	216
0x11e054d00	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\desktop.ini	216
0x11e0562a0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\NetworkProjection.lnk	216
0x11e0565c0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Remote Assistance.lnk	216
0x11e056d70	\$Directory	216
0x11e056f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Tablet PC\TabTip.lnk	216
0x11e058400	\Users\Phil\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini	216
0x11e058790	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Desktop.ini	216
0x11e058ce0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Math Input Panel.lnk	216
0x11e05a070	\$Directory	216
0x11e05a530	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini	216
0x11e05c4f0	\Windows\System32\pngfilt.dll	216
0x11e05caf0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Task Scheduler.lnk	216
0x11e05cf20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\services.lnk	216
0x11e05e070	\Windows\System32	216
0x11e05e620	\Program Files\Windows Media Player\wmpnetwk.exe	216
0x11e05eda0	\$Directory	216
0x11e060810	\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Create Recovery Disc.lnk	216
0x11e060d00	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\More Games from Microsoft.lnk	216
0x11e062840	\Users\Phil\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini	216
0x11e062f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk	216
0x11e0642a0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Print Management.lnk	216
0x11e0644f0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\desktop.ini	216
0x11e064c40	\Users\Phil\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Desktop.ini	216
0x11e066210	\$Directory	216
0x11e0663c0	\Users\Phil\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\desktop.ini	216
0x11e066af0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\iSCSI Initiator.lnk	216
0x11e066f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Tablet PC\ShapeCollector.lnk	216
0x11e068170	\Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80\GdiPlus.dll	216
0x11e068c40	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Tablet PC\Windows Journal.lnk	216
0x11e06a790	\$Directory	216
0x11e06a940	\Users\Phil\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini	216
0x11e06af20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Remote Desktop Connection.lnk	216
0x11e06c120	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk	216
0x11e06cf20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Backup and Restore Center.lnk	216
0x11e06e580	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell.lnk	216
0x11e06e890	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell ISE.lnk	216
0x11e06e9e0	\ProgramData\Microsoft\Windows\Caches\{40FC8D7D-05ED-4FEB-B03B-6C100659EF5C}.2.ver0x0000000000000001.db	216
0x11e06ed00	\$Directory	216
0x11e070130	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Performance Monitor.lnk	216
0x11e0704c0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Data Sources (ODBC).lnk	216
0x11e070f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Disk Cleanup.lnk	216
0x11e072c40	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\System Restore.lnk	216
0x11e074c10	\Windows\System32\oleaut32.dll	216
0x11e074f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Task Scheduler.lnk	216
0x11e078810	\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a	216
0x11e078960	\Windows\System32\svchost.exe	216
0x11e078ab0	\Windows\System32\en-US\mmres.dll.mui	216
0x11e078d00	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk	216
0x11e07a650	\Users\Phil\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools\desktop.ini	216
0x11e07af20	\Windows\System32\winevt\Logs\Microsoft-Windows-Resource-Exhaustion-Detector%4Operational.evtx	216
0x11e07d070	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk	216
0x11e07ff20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Configuration.lnk	216
0x11e081590	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\System Information.lnk	216
0x11e081a30	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Memory Diagnostics Tool.lnk	216
0x11e081f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Resource Monitor.lnk	216
0x11e083070	\Windows\System32\cryptbase.dll	216
0x11e0832e0	\Windows\System32\lpk.dll	216
0x11e083430	\Windows\System32\usp10.dll	216
0x11e0836d0	\Windows\System32\msctf.dll	216
